MeshA	MeshB	FacesA	FacesB	Pairs	Time_ms	Mpairs_s	Intersected
Allen_amygdalohippocampal_area_L.off	Allen_posteroventral_putamen_L.off	106	2100	222600	0.077079	2887.95	0	0
Allen_amygdalohippocampal_area_L.off	Allen_posteroventral_putamen_R.off	106	2100	222600	0.078886	2821.79	0	0
Allen_amygdalohippocampal_area_L.off	Allen_precentral_gyrus_L.off	106	11082	1174692	0.310922	3778.09	0	0
Allen_amygdalohippocampal_area_L.off	Allen_precentral_gyrus_R.off	106	11082	1174692	0.304047	3863.52	0	0
Allen_amygdalohippocampal_area_L.off	Allen_precuneus_L.off	106	9366	992796	0.272081	3648.9	0	0
Allen_amygdalohippocampal_area_L.off	Allen_precuneus_R.off	106	9366	992796	0.271461	3657.23	0	0
Allen_amygdalohippocampal_area_L.off	Allen_preoptic_region_of_HTH_L.off	106	222	23532	0.025134	936.262	0	0
Allen_amygdalohippocampal_area_L.off	Allen_preoptic_region_of_HTH_R.off	106	222	23532	0.041516	566.818	0	0
Allen_amygdalohippocampal_area_L.off	Allen_pretectal_region_L.off	106	56	5936	0.022667	261.879	0	0
Allen_amygdalohippocampal_area_L.off	Allen_pretectal_region_R.off	106	56	5936	0.041781	142.074	0	0
Allen_amygdalohippocampal_area_L.off	Allen_pulvinar_of_thalamus_L.off	106	894	94764	0.043168	2195.24	0	0
Allen_amygdalohippocampal_area_L.off	Allen_pulvinar_of_thalamus_R.off	106	894	94764	0.046255	2048.73	0	0
Allen_amygdalohippocampal_area_L.off	Allen_putamen_L.off	106	2098	222388	0.075039	2963.63	0	0
Allen_amygdalohippocampal_area_L.off	Allen_putamen_R.off	106	2098	222388	0.08285	2684.22	0	0
Allen_amygdalohippocampal_area_L.off	Allen_pyramidal_part_of_medulla_oblongata_L.off	106	116	12296	0.054046	227.51	0	0
Allen_amygdalohippocampal_area_L.off	Allen_pyramidal_part_of_medulla_oblongata_R.off	106	116	12296	0.026389	465.952	0	0
Allen_amygdalohippocampal_area_L.off	Allen_red_nucleus_L.off	106	100	10600	0.021775	486.797	0	0
Allen_amygdalohippocampal_area_L.off	Allen_red_nucleus_R.off	106	100	10600	0.022495	471.216	0	0
Allen_amygdalohippocampal_area_L.off	Allen_reuniens_nucleus_medioventral_nucleus_of_thalamus_L.off	106	160	16960	0.022839	742.589	0	0
